file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_1.json,18458,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_1.json,18265,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_1.json,16120,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_1.json,17106,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_1.json,15956,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_9.json,7359,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_9.json,7348,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_9.json,7121,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_8.json,16955,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_8.json,16903,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_8.json,16300,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_1.json,14342,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_1.json,14114,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_1.json,13535,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_1.json,9198,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_1.json,9221,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_1.json,8893,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_1.json,2232,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_1.json,2227,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_1.json,2211,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_8.json,18590,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_8.json,18907,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_8.json,19075,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_1.json,21331,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_1.json,20757,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_1.json,21526,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_0.json,2100,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_0.json,2138,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_0.json,2237,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_6.json,13870,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_6.json,14013,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_6.json,13611,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_5.json,11603,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_5.json,11879,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_5.json,11757,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_3.json,16162,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_3.json,16365,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_3.json,16443,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_9.json,2372,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_9.json,2181,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_9.json,2358,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_7.json,10066,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_7.json,9198,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_7.json,9386,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_6.json,4679,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_6.json,4706,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_6.json,4634,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_3.json,4824,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_3.json,4639,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_3.json,4364,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_8.json,13378,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_8.json,14381,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_8.json,14332,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_1.json,4656,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_1.json,4763,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_1.json,4605,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_9.json,12005,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_9.json,12006,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_9.json,11613,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_7.json,2470,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_7.json,2545,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_100CYC_QSE_7.json,2395,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_4.json,22060,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_4.json,21947,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_4.json,21585,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_8.json,7024,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_8.json,7140,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_8.json,6689,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_3.json,11420,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_3.json,11780,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_3.json,10977,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_2.json,14282,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_2.json,14258,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_2.json,14430,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_1.json,6834,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_1.json,7272,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_1.json,6797,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_9.json,16705,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_9.json,16694,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_9.json,15767,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_5.json,21556,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_5.json,21587,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_5.json,20863,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_7.json,21553,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_7.json,21680,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_7.json,20803,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_6.json,11888,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_6.json,11658,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_6.json,11718,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_3.json,9528,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_3.json,9474,default
