file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_5.json,800,10596,4803,8949,4499,5420,4061,3333,2739
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_6.json,800,11404,5400,8485,4328,4056,3117,3065,2577
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_7.json,800,10538,5283,8983,4361,5102,3614,3138,2817
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_8.json,800,10838,5362,8807,4301,4841,3473,3212,2679
benchmarks/polyhedral/queko-bss-54qbt/54QBT_800CYC_QSE_9.json,800,10505,5060,8470,4489,5155,3722,2704,2432
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_0.json,900,13829,6250,10128,4938,6106,4369,3423,2833
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_1.json,900,10526,5077,10135,5042,6346,4588,3980,3089
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_2.json,900,12000,5833,10007,4961,6106,4416,3260,2924
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_3.json,900,10132,4804,10144,4966,4810,3616,3902,3138
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_4.json,900,12914,6074,9658,4768,5157,3973,4040,3129
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_5.json,900,11698,5589,9503,4884,6686,4887,3694,3029
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_6.json,900,11046,5336,9668,4783,6378,4454,3615,3110
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_7.json,900,11779,5920,9783,4699,5301,3736,3770,2925
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_8.json,900,11473,5636,9979,4749,5126,3718,3434,2990
benchmarks/polyhedral/queko-bss-54qbt/54QBT_900CYC_QSE_9.json,900,10798,5174,9502,4647,5451,3942,3591,2990
