file_path,depth,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_3.json,45,174,155,66,110,69,110,34,76
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_5.json,45,127,137,34,81,54,127,19,73
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_9.json,45,281,155,173,108,139,168,95,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.1D2_5.json,45,117,176,21,95,49,172,15,120
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.2D2_2.json,45,178,78,57,80,82,89,34,70
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.4D2_6.json,45,307,150,145,108,143,113,69,76
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_3.json,45,310,189,207,156,166,159,85,104
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_3.json,45,107,100,17,49,43,68,10,50
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.7D1_.1D2_6.json,45,66,162,20,101,36,156,8,81
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.6D1_.2D2_4.json,45,204,200,77,127,86,144,35,84
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.6D2_6.json,45,469,189,229,144,190,154,95,102
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.5D2_0.json,45,341,166,191,116,188,168,104,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.1D2_7.json,45,116,171,43,89,55,142,14,67
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_0.json,45,247,185,107,150,100,147,47,94
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.1D2_3.json,45,140,126,29,74,51,87,16,61
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.1D2_0.json,45,97,85,22,58,40,69,15,50
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_7.json,45,281,187,138,121,130,153,78,112
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.4D2_0.json,45,348,212,157,170,121,140,69,98
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.4D2_3.json,45,335,173,144,90,115,111,69,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.2D2_4.json,45,187,123,74,86,87,110,32,75
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.2D2_7.json,45,211,141,69,99,86,122,35,78
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.2D2_7.json,45,201,147,62,58,75,85,34,57
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.1D1_.2D2_6.json,45,200,120,50,65,65,76,33,59
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.5D2_3.json,45,292,154,206,123,153,115,90,89
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.4D1_.1D2_9.json,45,116,138,24,76,57,131,14,56
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.2D1_.5D2_1.json,45,416,213,181,135,181,142,113,116
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.0D1_.2D2_9.json,45,141,95,93,93,73,72,36,58
benchmarks/polyhedral/queko-bigd/20QBT_45CYC_.5D1_.3D2_8.json,45,252,221,120,143,119,164,55,99
