file_path,dept,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_6.json,700,3244,3003,2746,2908,1591,2340,1301,2132
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_7.json,700,3347,3178,2824,2719,1617,2383,1627,2600
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_8.json,700,3414,3227,2817,2830,1657,2327,1578,2368
benchmarks/polyhedral/queko-bss-20qbt/20QBT_700CYC_QSE_9.json,700,3188,3100,2767,2710,1616,2413,1239,2048
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_0.json,800,4188,3650,3301,3301,1992,2903,1730,2840
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_1.json,800,4232,3606,3512,3346,2051,3069,1266,2282
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_2.json,800,4006,3678,3561,3494,1831,2687,1870,2813
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_3.json,800,3955,3529,3402,3229,1885,2828,1993,2936
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_4.json,800,3787,3529,3191,3213,1925,2810,1593,2463
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_5.json,800,3996,3956,3680,3686,2089,2929,1699,2591
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_6.json,800,3820,3653,3190,3171,2014,2980,1683,2606
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_7.json,800,3702,3604,2978,3161,1941,2766,1661,2765
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_8.json,800,3765,3704,3141,3366,1866,2696,1825,2788
benchmarks/polyhedral/queko-bss-20qbt/20QBT_800CYC_QSE_9.json,800,3773,3486,3297,3281,2003,2841,1705,2580
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_0.json,900,4213,3932,3776,3754,2145,2942,1813,2881
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_1.json,900,4144,4098,3957,3835,2050,2977,1908,2918
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_2.json,900,4338,4195,4166,4042,2180,3198,1656,2861
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_3.json,900,4125,3996,4071,3836,2028,3100,2046,3157
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_4.json,900,4054,3900,3753,3641,2270,3180,1643,2805
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_5.json,900,4089,3969,3787,3758,1995,2879,2081,3328
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_6.json,900,4166,3904,3560,3859,2187,3262,2020,2968
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_7.json,900,4585,4158,3983,3923,2132,3296,1789,2794
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_8.json,900,4566,4093,3698,3578,2089,3072,1804,2932
benchmarks/polyhedral/queko-bss-20qbt/20QBT_900CYC_QSE_9.json,900,4532,4033,3759,3871,2072,3120,1662,2919
