file_path,closure_swaps,closure_depth,initial_mapping_method
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_3.json,1995,1543,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,823,750,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_8.json,1090,744,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,705,863,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_3.json,1313,1082,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,1771,2362,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_9.json,3541,2974,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_9.json,1494,1395,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_9.json,2306,2038,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,2255,2801,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_2.json,3721,2993,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,2783,2741,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_6.json,3042,2743,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,895,1189,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_8.json,2516,1898,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_4.json,953,1388,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_4.json,2055,1740,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_6.json,1093,1662,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_6.json,2048,1821,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,1558,1459,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_7.json,1905,1542,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_4.json,963,1530,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_4.json,3211,2482,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,775,707,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_200CYC_QSE_6.json,1099,851,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_9.json,1022,1603,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_9.json,3999,2580,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_5.json,1224,1827,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_700CYC_QSE_5.json,3347,2565,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,2493,3076,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_3.json,4296,3089,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_4.json,1041,1464,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_500CYC_QSE_4.json,2450,2098,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,2047,2968,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_800CYC_QSE_8.json,1601,1837,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,1046,1048,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_300CYC_QSE_2.json,1914,1268,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,868,994,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_5.json,1620,1430,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_2.json,1487,1773,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_2.json,3197,2281,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_4.json,1594,2298,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_900CYC_QSE_4.json,3733,3261,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_6.json,1691,1709,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_6.json,2810,2504,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,1193,1204,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_2.json,2220,1575,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_0.json,1466,1939,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_0.json,3309,2459,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,1052,1112,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_400CYC_QSE_0.json,2023,1346,CLOSURE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_3.json,1373,2087,SABRE_INIT
benchmarks/polyhedral/queko-bss-53qbt/53QBT_600CYC_QSE_3.json,2752,1966,CLOSURE_INIT
